PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.0420323,0,0.248499,0,0,0,0.0277136,0.681755,4,1,1.79122,0.0115795,0,1.40347,0.357563,0.0299558,0
0.0411088,0,0.248767,0,0,0,0.0277191,0.682405,4,1,1.79117,0.0117669,0,1.4021,0.357327,0.0311137,0
0.0405157,0.0184162,0.172192,0,0,0,0.0644567,0.70442,4,1,2.15101,0.0133897,0,1.64693,0.319944,0.0397082,0
0,0.393061,0.230612,0,0,0,0.000816327,0.37551,4,1,1.77224,0.0106349,0,1.39961,0.368756,0.0297515,0
0.0367454,0.0367454,0.11811,0,0,0,0.10557,0.702829,4,1,2.45961,0.0276996,0,1.82536,0.365,0.0376176,0
0.0365511,0.029522,0.275305,0,0,0,0.327788,0.330834,4,1,2.00961,0.0235185,0,1.58852,0.345417,0.0295609,0
0.0349612,0.0294118,0.147059,0,0,0,0.1096,0.678968,4,1,2.26138,0.0268007,0,1.70666,0.397962,0.0349633,0
0.0346487,0.131858,0.315688,0,0,0,0.216554,0.301251,4,1,2.01059,0.014318,0,1.57498,0.288772,0.0412189,0
0,0.339437,0.242723,0,0,0,0.021831,0.396009,4,1,1.83286,0.0181418,0,1.43101,0.346436,0.0301817,0
0.0337259,0,0.0877944,0,0,0,0.0594218,0.819058,3,1,2.27275,0.0256669,0,1.71625,0.379345,0.035909,0
0.0335,0,0.1805,0,0,0,0.0005,0.7855,3,1,2.081,0.0233002,0,1.59015,0.306054,0.0348681,0
0,0.333955,0.236007,0,0,0,0.0307836,0.399254,4,1,1.82556,0.0123636,0,1.424,0.353818,0.0395208,0
0.0328673,0.0309051,0.202355,0,0,0,0.268825,0.465048,4,1,1.90827,0.012135,0,1.47535,0.276678,0.0315776,0
0,0.328296,0.404029,0,0,0,0.213348,0.0543263,4,1,1.59831,0.00963534,0,1.31722,0.448784,0.0238156,0
0,0.321723,0.152087,0,0,0,0.00930604,0.516884,4,1,2.13135,0.0257973,0,1.62848,0.308755,0.0337534,0
0.0295015,0.0356053,0.282808,0,0,0,0.335707,0.316378,4,1,1.95829,0.0151274,0,1.53344,0.348726,0.0407663,0
0,0.292304,0.236291,0,0,0,0.0513062,0.420099,4,1,1.8249,0.011741,0,1.42267,0.359429,0.0300196,0
0.0289218,0.429894,0.219806,0,0,0,0.000462749,0.320916,4,1,1.78251,0.0115858,0,1.39482,0.353639,0.0297622,0
0.0284404,0.408486,0.222018,0,0,0,0.0144495,0.326605,4,1,1.79427,0.0114654,0,1.40165,0.353368,0.0303165,0
0,0.280702,0.237517,0,0,0,0.0593792,0.422402,4,1,1.83536,0.0115952,0,1.43394,0.35831,0.0316724,0
0,0.272343,0.405213,0,0,0,0.268619,0.0538253,4,1,1.598,0.00937719,0,1.32148,0.439608,0.0229567,0
0.0259384,0.0267819,0.280051,0,0,0,0.337199,0.33003,4,1,2.01771,0.0213302,0,1.60715,0.471448,0.0271618,0
0.025641,0.0384615,0.272436,0,0,0,0.282051,0.38141,4,1,1.99679,0.0126743,0,1.58048,0.353612,0.0486111,0
0,0.25131,0.384101,0,0,0,0.28636,0.0782294,4,1,1.67498,0.00946466,0,1.37119,0.432084,0.0239328,0
0.0246185,0.158087,0.364395,0,0,0,0.267752,0.185148,4,1,1.76643,0.0106261,0,1.41949,0.413193,0.0270182,0
0.0244268,0.0426398,0.291193,0,0,0,0.359546,0.282194,4,1,1.92779,0.0114256,0,1.53445,0.3695,0.0281822,0
0.024,0.184,0.232,0,0,0,0,0.56,4,1,1.968,0.0152439,0,1.50305,0.331555,0.0789744,0
0.022409,0.0289449,0.287582,0,0,0,0.314659,0.346405,4,1,1.9888,0.0236337,0,1.57386,0.463811,0.0409676,0
0,0.218883,0.338274,0,0,0,0.317157,0.125685,4,1,1.67411,0.0104712,0,1.34915,0.338514,0.0264644,0
0.0199115,0.0199115,0.115597,0,0,0,0.153761,0.690819,4,1,2.23175,0.026767,0,1.688,0.38394,0.0379142,0
0,0.193464,0.244009,0,0,0,0.0139434,0.548584,4,1,1.78344,0.0109834,0,1.40501,0.36185,0.0283617,0
0.0182987,0.0311573,0.277943,0,0,0,0.335806,0.336795,4,1,1.98566,0.0249027,0,1.56265,0.459274,0.0360153,0
0,0.182222,0.146667,0,0,0,0.0177778,0.653333,4,1,2.17333,0.0268456,0,1.6443,0.411633,0.0877321,0
0.0177498,0.0171772,0.129115,0,0,0,0.0312053,0.804752,4,1,2.35156,0.0144681,0,1.74787,0.296223,0.0369279,0
0,0.177247,0.34207,0,0,0,0.298583,0.182101,4,1,1.89691,0.01034,0,1.53094,0.395386,0.0254015,0
0,0.175054,0.243601,0,0,0,0.0199566,0.561388,4,1,1.79696,0.0109271,0,1.41455,0.360808,0.0278517,0
0,0.173752,0.257856,0,0,0,0.000924214,0.567468,4,1,1.74677,0.0123636,0,1.37527,0.367455,0.0395393,0
0.0171457,0.296268,0.131871,0,0,0,0.00378215,0.550933,4,1,2.21962,0.0176651,0,1.69048,0.308276,0.0323121,0
0.0166234,0.0161039,0.167273,0,0,0,0.0236364,0.776364,3,1,2.12182,0.0251137,0,1.61558,0.401819,0.033496,0
0.0161905,0.36619,0.193095,0,0,0,0,0.424524,4,1,1.8819,0.0171523,0,1.45795,0.338574,0.0310254,0
0,0.158966,0.163404,0,0,0,0.00313234,0.674498,4,1,2.14226,0.0175544,0,1.63734,0.324207,0.0333012,0
0,0.154065,0.243444,0,0,0,0.00983392,0.592657,4,1,1.77688,0.0110193,0,1.40014,0.361011,0.0277907,0
0,0.153648,0.256652,0,0,0,0.0145923,0.575107,4,1,1.76309,0.011502,0,1.39039,0.367896,0.0371018,0
0.0144144,0.0283784,0.304505,0,0,0,0.32545,0.327252,4,1,2.10923,0.0113034,0,1.65419,0.356853,0.0288205,0
0.0138408,0.0380623,0.292388,0,0,0,0.263841,0.391869,4,1,2.1583,0.0211028,0,1.69912,0.345984,0.0388859,0
0.0135385,0.0258462,0.284718,0,0,0,0.346872,0.329026,4,1,2.00082,0.0207958,0,1.59735,0.468643,0.0267371,0
0.0131148,0.19918,0.320492,0,0,0,0.247541,0.219672,4,1,1.98934,0.0209974,0,1.59285,0.379675,0.030342,0
